,hostname,coordenadas,distancia a Kepler-220
84,GJ 887,"[1.4700306905866407, -6.107538522959523, 8.693169049276493]",554.6021901528928
35,GJ 251,"[9.695352850747387, -2.3635170603064646, 15.21140140115867]",554.9286038852998
351,Proxima Cen,"[2.2886139571637107, 2.994090412140813, 1.9471028743100036]",557.2538887357204
350,alf Cen B,"[2.461368469827375, 2.942289005031795, 2.1404378097789927]",557.2541593657996
349,alf Cen A,"[2.4615873775818318, 2.9418952152086013, 2.140727324108648]",557.2542156891839
72,GJ 682,"[11.34702603878618, 1.1403800220693314, 11.676819941169711]",557.4774793019102
71,GJ 674,"[10.726890984817418, 1.4751145948157762, 10.132875584966806]",557.9800727806188
91,Gl 378,"[17.815666943214655, -31.60036977199183, 32.56906460785653]",558.250052806949
80,GJ 832,"[7.285201631832205, -9.80640738019215, 10.6148470989093]",558.3698417302954
354,eps Ind A,"[4.831268909358131, -8.66989086225652, 6.495588217195548]",559.1036873773926
186,GJ 680,"[23.544827781874805, 2.554784313397666, 20.821548860395435]",559.7849388069812
43,GJ 338 B,"[10.859387756262448, -12.313949041554165, 12.514835361088206]",560.3124834274965
42,GJ 338 A,"[10.8615241825139, -12.313011116284821, 12.515087283504498]",560.3135333102797
132,HD 211970,"[14.422450723659908, -31.744263415967044, 24.815682948017006]",560.7853099178535
135,HD 222237,"[3.1627530565875124, -35.492972761349435, 11.08135621087911]",563.1145360598541
179,HIP 48714,"[15.707515228900014, -26.176109884536917, 15.698354259616723]",565.7638113736575
44,GJ 3512,"[20.311110276011004, -17.24437943714463, 15.699707703460158]",566.2926212385161
310,LHS 3844,"[15.141940567690877, -42.750519139747986, 17.253217884678055]",569.7369483355459
311,LHS 475,"[37.85593880055277, -13.9567414230088, 5.268928648650407]",584.5105564708525
261,Kepler-406,"[-778.4455840665624, 312.11553363780286, 839.6147761075299]",629.5273097116151
213,Kepler-1173,"[-808.5121601500637, 345.379822111023, 859.064524149028]",671.8507881954083
226,Kepler-1536,"[-840.3758631049651, 332.47820244771947, 881.4489892913987]",704.8254615526778
201,Kepler-1055,"[-839.8627853866985, 313.7910382180802, 898.6817706861109]",712.2837596338459
278,Kepler-540,"[-840.34345784995, 316.28280276944975, 901.8579663889809]",715.4823331044221
209,Kepler-1141,"[-889.1529607807669, 333.2135655018795, 863.229470827802]",725.6363507253982
206,Kepler-1084,"[-926.2483954313465, 338.9950909679118, 880.3008583392211]",764.6499807548913
238,Kepler-1714,"[-882.4631784472898, 387.67675754044745, 923.4512591771108]",777.4653523846265
196,Kepler-1012,"[-916.8346242224237, 321.00311132531965, 923.184066300882]",782.6995410223694
198,Kepler-1020,"[-904.4598223299217, 377.8332329298617, 934.179926472637]",796.3944358452659
199,Kepler-1022,"[-944.4812842234948, 331.71635594142816, 934.3462759745788]",811.8773418225124
248,Kepler-1957,"[-1020.5271097794562, 448.2230457619158, 1007.5808375004206]",945.2041107573212
219,Kepler-1323,"[-1007.2822927902718, 424.9179409974617, 1052.0947075374854]",959.6612963971264
291,Kepler-833,"[-1019.7950658979755, 380.87814421291426, 1066.0143808399162]",966.1092091500473
254,Kepler-283,"[-1036.4388368290092, 453.10504014842417, 1024.2680192061541]",968.612070065414
222,Kepler-1395,"[-1098.6580739100334, 451.4326391043233, 1082.1626155775828]",1049.144513055817
228,Kepler-1577,"[-1130.107828206664, 478.66144314328676, 1121.736445347041]",1105.082558516483
290,Kepler-783,"[-1157.2755642431694, 445.69386695710114, 1136.9783148917306]",1124.695610636014
294,Kepler-905,"[-1179.8567829920366, 430.62589886692683, 1183.0264891302627]",1167.743732470169
239,Kepler-1743,"[-1224.6814105551898, 459.165566448497, 1172.4558354179717]",1198.9455483777153
225,Kepler-1515,"[-1223.4280938211714, 468.99086624967526, 1172.3868366502609]",1200.5949705782446
242,Kepler-1788,"[-1220.531945807203, 474.01079638973414, 1274.25656542964]",1269.3931572294655
252,Kepler-225,"[-1247.8434147476798, 509.08264394480835, 1236.7922310575693]",1271.4435690523806
281,Kepler-566,"[-1267.7331325141188, 500.7661891926668, 1235.3155268667654]",1281.830767575207
280,Kepler-563,"[-1230.9872620498154, 508.53752353929815, 1273.2407137386272]",1284.8610399545187
293,Kepler-877,"[-1339.7995271988864, 483.9192689169862, 1350.739234137895]",1405.4654526871436
210,Kepler-1148,"[-1363.7537808584223, 522.2294342008524, 1424.0984012432787]",1482.1209626476914
256,Kepler-337,"[-1522.4144633248127, 555.9351338354134, 1502.7201130713174]",1652.5184638457315
211,Kepler-1151,"[-1527.2980029201037, 624.7650884708196, 1492.1472827435505]",1667.0693183818719
241,Kepler-1776,"[-1532.077846079334, 604.5643950984903, 1533.6129665315277]",1692.6825051259232
271,Kepler-461,"[-1506.461576400453, 616.2807377035931, 1562.7766447637946]",1698.7128312999491
202,Kepler-1069,"[-1574.0412731020788, 603.5634951264229, 1518.4849296788618]",1711.1886865540118
253,Kepler-273,"[-1603.8309174219023, 625.3767420451086, 1566.522249616403]",1769.78168280858
275,Kepler-527,"[-1680.9502658689557, 643.8400546573782, 1654.8531236028257]",1887.3615354961137
267,Kepler-423,"[-1650.3829582524356, 695.6464514224575, 1706.0733904504018]",1915.8529834912017
230,Kepler-1590,"[-1739.8240150146896, 682.1068159932489, 1681.581114574075]",1956.2782607280615
257,Kepler-342,"[-1711.781864406689, 715.2834125559018, 1746.6369885182785]",1990.3190443304181
251,Kepler-224,"[-1751.6802343493555, 670.1023385875532, 1727.1579125698413]",1991.8338387269832
296,Kepler-916,"[-1818.0547552082207, 697.2808884097374, 1882.125466145484]",2150.4121363567647
244,Kepler-1858,"[-1826.3290883818606, 749.308889482826, 1865.0487459068688]",2157.988141391245
292,Kepler-861,"[-1851.2258949941527, 761.2806559746564, 1917.749844943426]",2214.338650691213
216,Kepler-1284,"[-1982.0258556848532, 771.9210349748325, 1936.2984525110385]",2318.629938135187
227,Kepler-1564,"[-2016.5905198170954, 757.4295187845636, 2034.0304738857988]",2404.942670733852
287,Kepler-763,"[-2130.8755372121605, 867.1896233106258, 2133.5388206377106]",2579.830630456378
203,Kepler-1072,"[-2147.848831321752, 869.7235083908583, 2212.176845016551]",2645.8875958306585
258,Kepler-362,"[-2435.2701513445654, 972.6387859644069, 2400.396461405211]",2997.291629899178
214,Kepler-1184,"[-2570.8568050293593, 1001.4064695905681, 2575.882661478769]",3216.746222868682
284,Kepler-657,"[-3779.6620296166057, 1465.8294246589796, 3739.8605566662304]",4957.734348936068
