,hostname,coordenadas,distancia a Kepler-220
117,HD 178911 B,"[-72.4319254774258, 22.50902061156758, 109.94622657474271]",428.45109292317443
151,HD 41004 B,"[-101.03998290963794, -0.07654282235809011, 90.21521194865552]",429.16562117562626
276,Kepler-533,"[-680.772419255128, 298.63542066783674, 650.2194506264435]",431.0524516538787
189,HIP 99770,"[-65.1705919409851, 43.3547322847932, 104.60604304698472]",431.4482319059728
96,HAT-P-11,"[-81.10187495850181, 42.59781290751505, 82.24781928470786]",435.23861635278826
268,Kepler-444,"[-74.27560766461984, 26.671813110478006, 88.78934704521942]",439.69251158454915
150,HD 41004 A,"[-89.22358445267338, -0.06757807506665159, 79.66472507876689]",444.00197804551283
324,TOI-1680,"[-102.52809289315556, 42.0790607364309, 49.40415907967849]",444.9213699847783
154,HD 47186,"[-55.91509699266562, 8.892820366277968, 108.19217290902924]",445.6009425681762
157,HD 51608,"[-91.23229889611802, 22.263166625665455, 65.1229682192429]",445.8540695656751
12,BD+63 1405,"[-111.13310506471994, 2.712024320133491, 55.01418141047021]",446.7365150487853
165,HD 73256,"[-46.48968664907589, 37.774402308190176, 103.59658747476256]",447.2040821626279
328,TOI-2459,"[-75.00277885415916, -10.349685778575466, 92.26357410751596]",448.68482829643824
162,HD 65216,"[-90.22882597744719, 48.829219532926075, 50.82395502069631]",450.0698531628148
192,HR 2562,"[-93.9669198403254, 20.839314589371043, 55.01434434930949]",451.74722878944556
327,TOI-2136,"[-63.562675315858755, 12.558477701591416, 87.3591133618227]",452.18408532740347
295,Kepler-909,"[-677.0506582426787, 239.8410556254981, 709.0350961383814]",452.30291761778534
153,HD 45364,"[-58.119374502088974, 6.529993136440162, 95.51001252562776]",452.6532903337165
161,HD 63765,"[-76.74619968848916, 39.03374619149095, 61.94980928871843]",453.17369790006853
130,HD 197037,"[-55.82645396087918, 46.65659008124377, 80.10483150623413]",453.3895921548349
168,HD 80883,"[-62.54611658293167, 74.36326978798247, 57.287293605174355]",458.91688703355305
169,HD 85390,"[-44.82925033001299, 70.3964730485068, 70.55158031116231]",462.9499574673645
330,TOI-431,"[-47.416277726976965, -5.59593288048412, 94.83260580188546]",464.621947468751
164,HD 70642,"[-49.71885118689359, 35.289103524785055, 73.4265810039534]",464.8383398271407
337,TOI-6086,"[-51.57556929660723, -4.176468835369838, 88.53652293601948]",465.1245129529428
339,TOI-700,"[-91.68596909604804, 11.413130314756206, 41.95318175834838]",465.38365537353206
331,TOI-4438,"[-56.98932622551242, 0.31554533458181594, 79.61804285488034]",465.5818378556368
308,LHS 1815,"[-79.97996532426944, 1.5217101398945214, 55.366947948726384]",466.2067807504801
167,HD 75289,"[-47.01870588458744, 42.21439681355038, 70.82739105414538]",466.8351269315726
322,TOI-1760,"[-89.45395429825149, 32.86652403274046, 28.780241881631714]",470.6627869051706
323,TOI-1452,"[-89.40637610374219, 32.84903965492678, 28.766539495284974]",470.70663306662095
142,HD 29985,"[-53.63313681902743, -18.969676149614468, 84.59259812803101]",471.25533890851443
187,HIP 86221,"[-44.757099116072666, -4.471395754516061, 84.96518707527245]",472.2761314901558
32,GJ 2056,"[-37.11482528521977, 12.073300549432812, 84.1114768680525]",473.1833051787995
113,HD 164595 B,"[-45.504608777994, 0.14979694307132915, 80.21216075743412]",473.26967722945875
112,HD 164595,"[-45.45762984940794, 0.1280307509631608, 80.10916632472606]",473.3751306080307
16,DMPP-4,"[-59.005714071497884, 25.757705312904978, 51.69881687260588]",475.5588140325725
345,G 229-20 A,"[-62.9558076461263, 16.176038921463714, 48.061738305868744]",478.03105955142354
343,G 229-20 B,"[-62.90462369297281, 16.162526398022486, 48.023665792353725]",478.0951834063308
344,WD 1856+534,"[-62.78863443788091, 16.13969269688069, 47.95572447090719]",478.2255526580793
111,HD 158259,"[-69.43209305833244, -10.563116711310714, 53.32664922602392]",478.3489757353275
160,HD 60532,"[-29.4548092305242, 12.815303047602649, 78.33743391960567]",482.13917118355135
335,TOI-5799,"[-21.26498197525339, 13.097749174450374, 87.16050426135072]",482.6035801384683
116,HD 168009,"[-53.78934206134735, 3.6526458883922115, 53.52165467509391]",484.018271290464
336,TOI-6008,"[-43.67327582703211, 37.232971392324316, 48.762047318913865]",485.2228319206923
147,HD 39194,"[-80.79990180110642, -5.467198944441183, 29.25492134332093]",486.4878414249425
321,TOI-1450 A,"[-60.084510001644574, 18.20246272234901, 37.593675025811585]",486.70783948628804
326,TOI-2134,"[-46.4536383794424, 1.5698416837810336, 57.249068243856705]",487.11383990234947
110,HD 156668,"[-38.07398596835228, -7.112733229721028, 69.22402923899575]",487.7993162675007
224,Kepler-1507,"[-718.8490740360972, 241.38359556714659, 718.6861847684845]",487.8030102178426
1,16 Cyg B,"[-48.021966290923, 22.86996494939815, 43.819982270704315]",489.16260200123565
2,HIP 96895,"[-48.03042027231349, 22.860960555347436, 43.81131297222649]",489.1651897534336
